project_number,person_id_snsf,role,institute_name,institute_place,institute_id_p3
177591,663253,employee,"Pogramme genre, globalisation et changements  IHEID",Genève 21,242757
194006,758492,applicant,Ho Chi Minh University of Education and Technology,Ho Chi Minh City,255712
177515,635512,applicant,Plant Protection Department Agricultural Faculty Kyrgyz – Turkish Manas University,Bishkek,241934
193649,756691,applicant,Kwame Nkrumah University of Science and Tech Faculty of Social Sciences Department of Economics,Kumasi,257941
146777,644524,employee,Institut de Hautes Etudes Internationales et du Développement,Genève 21,96722
199067,773920,applicant,Petroleum and Petrochemical College  Chulalongkorn University,Bangkok,258274
177480,717824,employee,Departement Wirtschaft Berner Fachhochschule,Bern,227694
160373,718597,employee,NA,NA,NA
183760,718597,employee,NA,NA,NA
183759,655089,employee,Institut universitaire de formation et de recherche en soins IUFRS Université de Lausanne,Lausanne,236331
169564,683160,applicant,"University of Ghana Institute of Statistical, Social and Economic Research",Accra,246740
194008,683160,applicant,"University of Ghana Institute of Statistical, Social and Economic Research",Accra,246740
152019,644057,applicant,CIFOR Central Africa Regional Office Nkolbisson IITA-HFC,Yaoundé,242666
152085,574564,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
177588,574564,employee,Centre for Development and Environment (CDE) Universität Bern,Bern,242779
160909,654308,employee,Institut für Sozial- und Präventivmedizin Universität Bern,Bern,110
146875,616201,responsible_applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,applicant,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
152085,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
177588,616201,employee,Zentrum für Entwicklung und Umwelt Universität Bern,Bern,230255
193980,758314,applicant,Lab. d'Etudes politiques/humaines/sociales Sciences Po Rabat Université Internationale de Rabat,Rabat,256272
146955,505422,responsible_applicant,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
171188,505422,responsible_applicant,Institut des sciences sociales Faculté des sciences sociales et politiques Université de Lausanne,Lausanne,6113
194006,758491,applicant,"CDRI, Cambodia",Phnom Penh,256301
169461,716272,employee,NA,NA,NA
169564,716272,employee,NA,NA,NA
189496,586822,responsible_applicant,Département de Microbiologie Fondamentale Faculté de Biologie et de Médecine Université de Lausanne,Lausanne,54808
177474,729720,employee,NA,NA,NA
169470,683124,applicant,BRAC University (BIED-BRACU) BRAC Institute of Educational Development,Dhaka,246713
194006,683124,applicant,BRAC University (BIED-BRACU) BRAC Institute of Educational Development,Dhaka,246713
152085,529962,employee,CABI,Delémont,107132
177588,529962,employee,CABI,Delémont,107132
147314,617339,applicant,National Center for Animal and Plant Health CENSA,"San José de las Lajas, Mayabeque",238601
177481,617339,applicant,National Center for Animal and Plant Health CENSA,"San José de las Lajas, Mayabeque",238601
147725,671116,employee,NA,NA,NA
152019,644058,applicant,Department of Ecology and Territory Faculty of Rural and Environmental Studies Universidad Javeriana,Bogota,242667
177587,644058,applicant,Department of Ecology and Territory Faculty of Rural and Environmental Studies Universidad Javeriana,Bogota,242667
147330,617422,applicant,Forest Products Research & Development Inst. Material Science Division,Laguna,250819
177480,617422,applicant,Forest Products Research & Development Inst. Material Science Division,Laguna,250819
193980,632468,employee,Abteilung Islamwissenschaft Asien-Orient-Institut Universität Zürich,Zürich,6686
169461,692666,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
194003,692666,employee,Department of Epidemiology and Public Health Swiss Tropical and Public Health Institute Universität Basel,Basel,229552
160373,691674,employee,NA,NA,NA
152019,607376,applicant,Department of Civil Engineering National University Singapore,Singapore,210229
190140,748997,partner,Centro Internacional de Entrenamiento e Investigaciones Medicos (CIDEIM),Cali,218534
177322,672209,applicant,Social Policy Analysis and Research Centre Faculty of Arts University of Colombo,Colombo,251134
177480,759412,employee,NA,NA,NA
188830,49317,responsible_applicant,Centre for Energy Policy and Economics (CEPE) ETH Zürich,Zürich,124343
177386,106218,responsible_applicant,Institut für Pflanzenwissenschaften Universität Bern,Bern,71
177592,537997,applicant,Eawag Department of Environmental Social Sciences,Dübendorf,260169
160904,662121,applicant,Laboratory of Plant Protection and Improveme Institute of Biotechnology of Sfax University of Sfax,Sfax,239916
147278,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
152224,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
177582,67279,responsible_applicant,Forschungsinstitut für biologischen Landbau (FiBL),Frick,1081
147350,584688,responsible_applicant,Völkerkundemuseum Universität Zürich,Zürich,6700
160867,661979,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
193032,755418,applicant,Geomatic and Ecosystem Modeling/Laboratory o Department of Botany University of Lomé,Lomé,255826
160373,689363,employee,2rLAB DEASS SUPSI,Manno,253076
183760,689363,employee,2rLAB DEASS SUPSI,Manno,253076
